período,populacao,nome
2013,6634254,SC
2013,2195662,SE
2013,43663669,SP
2013,1478164,TO
2014,790101,AC
2014,3321730,AL
2014,3873743,AM
2014,750912,AP
2014,15126371,BA
2014,8842791,CE
2014,2852372,DF
2014,3885049,ES
2014,6523222,GO
2014,6850884,MA
2014,20734097,MG
2014,2619657,MS
2014,3224357,MT
2014,8073924,PA
2014,3943885,PB
2014,9277727,PE
2014,3194718,PI
2014,11081692,PR
2014,16461173,RJ
2014,3408510,RN
2014,1748531,RO
2014,496936,RR
2014,11207274,RS
2014,6727148,SC
2014,2219574,SE
2014,44035304,SP
2014,1496880,TO
2015,803513,AC
2015,3340932,AL
2015,3938336,AM
2015,766679,AP
2015,15203334,BA
2015,8904459,CE
2015,2914830,DF
2015,3929911,ES
2015,6610681,GO
2015,6904241,MA
2015,20869101,MG
2015,2651235,MS
2015,3265486,MT
2015,8175113,PA
2015,3972202,PB
2015,9345173,PE
2015,3204028,PI
2015,11163018,PR
2015,16550024,RJ
2015,3442175,RN
2015,1768204,RO
2015,505665,RR
2015,11247972,RS
2015,6819190,SC
2015,2242937,SE
2015,44396484,SP
2015,1515126,TO
2016,816687,AC
2016,3358963,AL
2016,4001667,AM
2016,782295,AP
2016,15276566,BA
2016,8963663,CE
2016,2977216,DF
2016,3973697,ES
2016,6695855,GO
2016,6954036,MA
2016,20997560,MG
2016,2682386,MS
2016,3305531,MT
2016,8272724,PA
2016,3999415,PB
2016,9410336,PE
2016,3212180,PI
2016,11242720,PR
2016,16635996,RJ
2016,3474998,RN
2016,1787279,RO
2016,514229,RR
2016,11286500,RS
2016,6910553,SC
2016,2265779,SE
2016,44749699,SP
2016,1532902,TO
2017,829619,AC
2017,3375823,AL
2017,4063614,AM
2017,797722,AP
2017,15344447,BA
2017,9020460,CE
2017,3039444,DF
2017,4016356,ES
2017,6778772,GO
2017,7000229,MA
2017,21119536,MG
2017,2713147,MS
2017,3344544,MT
2017,8366628,PA
2017,4025558,PB
2017,9473266,PE
2017,3219257,PI
2017,11320892,PR
2017,16718956,RJ
2017,3507003,RN
2017,1805788,RO
2017,522636,RR
2017,11322895,RS
2017,7001161,SC
2017,2288116,SE
2017,45094866,SP
2017,1550194,TO
2018,869265,AC
2018,3322820,AL
2018,4080611,AM
2018,829494,AP
2018,14812617,BA
2018,9075649,CE
2018,2974703,DF
2018,3972388,ES
2018,6921161,GO
2018,7035055,MA
2018,21040662,MG
2018,2748023,MS
2018,3441998,MT
2018,8513497,PA
2018,3996496,PB
2018,9496294,PE
2018,3264531,PI
2018,11348937,PR
2018,17159960,RJ
2018,3479010,RN
2018,1757589,RO
2018,576568,RR
2018,11329605,RS
2018,7075494,SC
2018,2278308,SE
2018,45538936,SP
2018,1555229,TO
2019,881935,AC
2019,3337357,AL
2019,4144597,AM
2019,845731,AP
2019,14873064,BA
2019,9132078,CE
2019,3015268,DF
2019,4018650,ES
2019,7018354,GO
2019,7075181,MA
2019,21168791,MG
2019,2778986,MS
2019,3484466,MT
2019,8602865,PA
2019,4018127,PB
2019,9557071,PE
2019,3273227,PI
2019,11433957,PR
2019,17264943,RJ
2019,3506853,RN
2019,1777225,RO
2019,605761,RR
2019,11377239,RS
2019,7164788,SC
2019,2298696,SE
2019,45919049,SP
2019,1572866,TO
2020,894470,AC
2020,3351543,AL
2020,4207714,AM
2020,861773,AP
2020,14930634,BA
2020,9187103,CE
2020,3055149,DF
2020,4064052,ES
2020,7113540,GO
2020,7114598,MA
2020,21292666,MG
2020,2809394,MS
2020,3526220,MT
2020,8690745,PA
2020,4039277,PB
2020,9616621,PE
2020,3281480,PI
2020,11516840,PR
2020,17366189,RJ
2020,3534165,RN
2020,1796460,RO
2020,631181,RR
2020,11422973,RS
2020,7252502,SC
2020,2318822,SE
2020,46289333,SP
2020,1590248,TO
2021,906876,AC
2021,3365351,AL
2021,4269995,AM
2021,877613,AP
2021,14985284,BA
2021,9240580,CE
2021,3094325,DF
2021,4108508,ES
2021,7206589,GO
2021,7153262,MA
2021,21411923,MG
2021,2839188,MS
2021,3567234,MT
2021,8777124,PA
2021,4059905,PB
2021,9674793,PE
2021,3289290,PI
2021,11597484,PR
2021,17463349,RJ
2021,3560903,RN
2021,1815278,RO
2021,652713,RR
2021,11466630,RS
2021,7338473,SC
2021,2338474,SE
2021,46649132,SP
2021,1607363,TO
2022,830018,AC
2022,3127683,AL
2022,3941613,AM
2022,733759,AP
2022,14141626,BA
2022,8794957,CE
2022,2817381,DF
2022,3833712,ES
2022,7056495,GO
2022,6776699,MA
